Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,Is Not Allowed for Coworking(ESR),Is Special,Activity Price,Activity Group,Description,Qualification Requirement,Documents Required
AM-06778,Freezone,100001,Advertising & Communication Agency,????? ????????? ??????????,Active,,Media,0,Standard,,Media & Marketing Services,Advertising & Communication Agency,,Media Brief Form
AM-01867,Freezone,513908,Advertising Requisites Trading,????? ??????? ???????? ?????????,Active,,Commercial,0,Standard,,Advertising,"Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items.",,
AM-03703,Freezone,743001,Advertising Researches & Consultancies,???????? ??????? ???????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Includes providing advertising organizations advice and assistance on the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering, also to employing different methodologies of research that works to improve the effectiveness and efficiency of advertising, such firms are not allowed to conduct field questionnaire before getting approval from the competent authority.",,
AM-01854,Freezone,7430-06,Aerial Advertising Services,????? ??????? ?????????,Active,,Services,0,Standard,,Advertising,"Includes artworks, pictures, multiple word messages designed on banners flown by airplane in short trips at altitudes and routes permitted by the authorities in charge of air traffic. Airplanes must meet the safety requirements set by the concerned authorities. No firm can practice this activity prior to obtaining the required approvals from the general aviation Authorities and Civil Aviation Department.",,"Department of Civil Aviation, Business Plan. Activity Not Allowed for Flexi Units."
AM-01868,Freezone,513959,Agarwood & Incense Trading,????? ????? ??????? ??????,Active,,Commercial,0,Standard,,Ready made garments qroup,"Includes reselling agarwood, oriental perfumes, various types of incense, as well as bottles, empty boxes, vaporizers...etc.",,
AM-01855,Freezone,5149-02,Agricultural & Veterinary Pesticides Trading,????? ?????? ?????? ???????? ?????????,Active,,Commercial,0,Standard,,Agricultural,"Includes reselling materials intended for protection against and extermination and control of agricultural pests, including disease carriers affecting animals and plants. Pests are meant to be any plant or creature harmful or destructive, such as insects, spiders, nematodes, bacteria, fungal, moss, plant viruses, harmful weeds, parasitic plants, harmful birds, rodents, also, products plant growth controllers and crop protection.",,For Warehouse & Land: Ministry of Climate Change and Environment
AM-06522,Freezone,64990-03,"Agricultural Enterprises Investment, Institution and Management",????????? ?? ????????? ???????? ? ??????? ? ???????,Active,,Commercial,1,Standard,,Investment,"Includes firms and holding companies formed in order to invest their funds or create the necessary investments for the establishment of subsidiary projects, which carry out agricultural activities and other subsidiary activities, such as land reclamation, establishment of agricultural projects, cattle, sheep and chicken farms, as well as the marketing of agricultural crops and investment in fish and sea animal resources. This also includes the management of such subsidiary companies and the organization of their affairs.",,"Business Plan to be Reviewed and Approved by Sales Director Proof of Funds proving that the investable / liquid assets exceeds 500k US Dollars (Can be either a bank confirmation letter, or an auditor or lawyer confirmation letter, and the letter should be current dated within last 60 days.'Mandatory RAKEZ Visa within 6 months of the License Issuance"". Activity Not Allowed for Flexi Units."
AM-01869,Freezone,515902,Agricultural Equipment & Accessories Trading,????? ??????? ???????? ???????? ????????,Active,,Commercial,0,Standard,,"Wholesale of machinery, equipment and supplies","Includes reselling of agricultural equipment and machinery used in farms, orchards and gardens to cut grass and small trees and roots, pesticides sprayers as well as other attachments to enable for different uses.",,
AM-01884,Freezone,515903,Agricultural Equipment & Machinery Spare Parts Trading,????? ??? ???? ?????? ???????? ????????,Active,,Commercial,0,Standard,,"Wholesale of machinery, equipment and supplies","Includes reselling the spare parts of the agricultural machinery for soil preparation, planting or fertilizing, ploughing, manure spreading, seeding, grass cutting, sorters, milkers, pesticides sprayers, poultry and bee-keeping.",,
AM-09173,Freezone,7110922,Agricultural Projects Management,???????? ????? ???????? ????????,Active,,Services,0,Standard,,Consulting - agriculture and soil,"Includes offices of the specialized agencies of the fundamental principles of the management of agricultural projects. From the analysis of the project, planning, programming, and organization, and monitored during implementation.and study the different ways to program the agricultural projects,",Certified_Academic_Degree,Ministry of Climate Change & Environment
AM-03572,Freezone,741423,Agricultural Research & Consultancy,?????????? ????????? ???????? ????????,Active,,Services,0,Standard,,Consultancy -A- Agriculture and Soil,"Includes firms providing consultancy and research related to agricultural economic feasibility, land reclamation and irrigation, agricultural project development, animal poultry farming.",,
AM-01885,Freezone,514207,Agricultural Tools Trading,????? ????? ???????? ????????,Active,,Commercial,0,Standard,,"Wholesale of machinery, equipment and supplies","Includes reselling gardening and nurseling tools, including soil movers, trees cutters, planters, palm pollination, irrigation hoses, flower pots, fruit baskets, also, wax cells, beekeepers cloths, apiary accessories, as well as poultry and livestock farms tools.",,
AM-01886,Freezone,515901,Agricultural Tractors & Machinery Trading,????? ???????? ???????? ???????? ????????,Active,,Commercial,0,Standard,,"Wholesale of machinery, equipment and supplies","Includes reselling of agricultural tractors and machinery, ploughs, seeding devices, and harvesters, and other attachments to enable for different uses.",,
AM-09372,Freezone,7810005,AI in Human Resources (HR) Integration Services,????? ?????? ????????? ?? ??????? ???????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Integrating AI into HR processes for talent acquisition, employee engagement, performance management, and workforce analytics.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-09375,Freezone,6202028,AI-Powered Cybersecurity Solutions,???? ????? ????????? ??????? ??????? ?????????,Active,,Services,0,Standard,,Information Technology,"Deploying artificial intelligence-based cybersecurity solutions encompassing threat detection, anomaly detection, and automated response systems.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-02493,Freezone,6304-10,Air Cargo Agent,???? ???? ??? ???,Active,500000,Commercial,0,Standard,,"Transport, shipping and storage","Includes agents of international airlines who are engaged in air cargo operations. They are authorized to reserve spaces for imported, exported or re-exported goods.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-08993,Freezone,6301-05,Air Cargo Services,????? ????? ????? ???????,Active,500000,Services,1,Standard,,"Transport, shipping and storage","Includes firms specialized air transport of exported goods, such firms are allowed to receive goods from different parties as well as handling all related services such as warehousing, crating, unloading and sorting out, they coordinate with freight forwarders and air-cargo agents to reserve aircraft spaces and also arranging insurance formalities.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-01897,Freezone,513921,Aircondition & Refrigeration Spare Parts Trading,????? ??? ???? ????? ??????? ???????? ?????????,Active,,Commercial,0,Standard,,"Wholesale of machinery, equipment and supplies","Includes reselling spare parts of air-conditioning systems, central, window or split units as well as coolers, cold storage compartments, central water cooling and other refrigeration equipment.",,
AM-09161,Freezone,7110926,"Air-conditioning, Cooling, Heating and Ventilation Engineering Consultancy",???????? ????? ??????? ???????? ???????? ????????,Active,,Services,0,Standard,,refrigeration or air conditioning appliances,"Includes advisory offices specialized engineering and preparing designs, drawings and specifications of engineering consultancy and implementation in the field of air conditioning and cooling, heating, ventilation, and may not be the architect or the Office of the engineering consultancy work in non-specialization or licensed by classification",Certified_Academic_Degree,
AM-01900,Freezone,515916,Air-Condition Trading,????? ?????? ??????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling central and window air-conditions equipment as well as the split units, whether or not linked with general central air-conditioning system.",,
AM-08947,Freezone,7730020,Aircraft & Requisites Leasing,????? ???????? ????????,Active,,Commercial,1,Special,10000,"Transport, shipping and storage",Includes firms specialized in leasing airplanes under lease contracts for air flights in scheduled passenger and freight transport flights including its operational and ground handling tools.,,Department of Civil Aviation. Activity Not Allowed for Flexi Units.
AM-02620,Freezone,6220-01,Aircraft Charter & Equipment Rental,????? ???????? ????????,Active,500000,Commercial,1,Special,5000,"Transport, shipping and storage","Includes firms specialized in chartering all kinds of civil aircrafts for passenger transport or cargo, whether owned by the company or being re-chartered. It includes renting related tools, spare parts, components as well as other maintenance equipment either in air or ground like escalators, belts, engines, hydraulic lifts, turbo operating units, batteries.",,"Department of Civil Aviation,Business Plan to be Reviewed and Approved by Sales Director,'Mandatory RAKEZ Visa within 6 months of the License Issuance"". Activity Not Allowed for Flexi Units."
AM-02621,Freezone,6303-09,Aircraft Classification Services,????? ????? ????? ????? ????????,Active,500000,Commercial,0,Special,5000,"Transport, shipping and storage","Includes organizations that survey aircrafts in order to categorize according to the applicable local and international standard specifications, classification certificates can be issued as regarding adherence to the technical standards of operation.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-01883,Freezone,5159-99,Aircrafts & Helicopters Trading,????? ???????? ??????? ??????????,Active,500000,Commercial,0,Special,5000,Mechanical & engineering equipment trading,"Includes trading the wide-body commercial aircrafts designed for scheduled and charter airline flights to carrying passengers and cargo, and also the helicopters for transportation of people, search and rescue, tourism, medical transport and aerial observation.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-01881,Freezone,5159-70,Aircraft Spare Parts & Components Trading,????? ??? ???? ???????? ?????????,Active,,Commercial,0,Special,5000,Mechanical & engineering equipment trading,"Includes reselling of spare parts and other components for aircraft reparation, maintenance, renovation and efficiency upgrading, as well as provision of safety and security systems or others.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-02495,Freezone,6220-03,Air Freight & Passengers Charters,????? ????? ????? ???? ?????? ????????,Active,500000,Commercial,0,Standard,,"Transport, shipping and storage",Includes firms involved in chartering airplanes under charter contracts for air flights in non-scheduled passengers and freight transport flights.,,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-02622,Freezone,6210-01,Airlines of Passengers & Cargo Transportation.,???? ????? ????? ????? ?????? ????????,Active,500000,Commercial,0,Standard,,"Transport, shipping and storage",Includes airlines involved in passengers and cargo air transport by civil airplanes owned or chartered by such firms and used for internal and international regular flights.,,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-02681,Freezone,6303-14,Airplane Management & Operation,????? ???????? ????????,Active,500000,Commercial,0,Standard,,"Transport, shipping and storage","Includes firms specialized in managing and operating airplane for other parties. This involves executing operations necessary for handling passengers and cargo transport, changing crew and navigators.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-06454,Freezone,5159-43,Airport Equipment Trading,????? ????? ????????,Active,500000,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling the support equipment found at airport terminal, such as baggage handling system, x-ray inspectors, metal detectors, luggage and body scanners, also, equipment at the ramp area, such as bag carts, trolleys for containers and pallets, ground power units, container loader, passenger boarding stairs",,Business Plan
AM-02682,Freezone,6303-04,Airport Ground Services,????? ???????? ??????? ?????????,Active,500000,Commercial,0,Standard,,"Transport, shipping and storage","Includes servicing an aircraft while it is on the ground and parked at a terminal gate of an airport, involving handling the many service between arrival and departure such as cabin service, catering, ramp service, passenger service, field operation service.",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-02619,Freezone,6210-03,"Air Transport of Radioactive, Chemical & Biological Materials",????? ????? ?????? ????????? ? ????????? ???????????,Active,500000,Commercial,1,Special,5000,"Transport, shipping and storage","Includes shipping firms engaged in the air transport of the hazardous chemicals, radioactive and biological materials which require sophisticated handling for safety as well as the compliance of shippers to local and international codes for handling such materials.",,"Department of Civil Aviation , Department of Civil Defense,Business Plan to be Reviewed and Approved by Sales Director,'Mandatory RAKEZ Visa within 6 months of the License Issuance"". Activity Not Allowed for Flexi Units."
AM-08979,Freezone,7110403,Alternative Power and Researches Consultancy,???????? ?????? ?? ?????? ??????? ???????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in alternative power and researches consultancy. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-09301,Freezone,4330013,Aluminium Installation Works,????? ??????? ?????????,Active,,Services,0,Standard,,Blacksmith and aluminum,Includes specialized enterprises in the implementation of the work of the aluminum fittings of installations and Buildings This includes contracting for the completion of the work of the structures of the buildings buildings both foreign interfaces or internal structures.,,"Environment Protection & Development Authority, Department of Civil Defense, General Resources Authority-CCTV"
AM-01916,Freezone,515921,Animal & Poultry Farms Equipment Trading,????? ????? ????? ??????? ????????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling cow, cattle and sheep, or chicken, ducks, pigeons breeding farms machinery and equipment, as well as other birds and animals bred for trading and processing their products.",,
AM-03709,Freezone,852005,Animal Etiquette & Behaviour Consultant,???????? ?????? ????????,Active,,Services,0,Standard,,Veterinary clinic,"Includes veterinary clinics involved in animal behavior consultancy for pet and farm animals, to solve behavior problems, such as, aggression, anxiety, fears and phobias. Treating these problems will help animal owners to have better relations with them and improve the productivity in the case of farm animals, as well as reducing the risks of injury, it also involves animal etiquette which offers an approach to the positive reinforcement methods of training in all the activities that is provided for the animal.",,
AM-01728,Freezone,512118,Animal Feed Trading,????? ????? ????????? ???????,Active,,Commercial,0,Standard,,Fodders & animal food trading,"Includes reselling animals and birds food which can be canned or dried such as grains, seeds, meats, fruits. It also includes health food like vitamins and tonics other than veterinary medicines.",,For Warehouse & Land: Ministry of Climate Change and Environment
AM-01744,Freezone,512120,Animal Fodder Supplements Trading,????? ?????? ??? ???????,Active,,Commercial,0,Standard,,Fodders & animal food trading,"Includes reselling supplements added to at processing fodder, whether of vegetal or animal origin, such as vitamins, amino acids and sulfates.",,For Warehouse & Land: Ministry of Climate Change and Environment
AM-01764,Freezone,513922,Antennas Trading,????? ?????????,Active,,Commercial,0,Standard,,Electronics group,"Includes resellingthe electric devices which convert electric power into radio waves to use in radio and television broadcasting, telecommunication receivers, wireless computer network, radar.",,
AM-01766,Freezone,515973,Aquarium & Display Cases Trading,????? ??????? ?????? ??? ??????? ?????????? ???????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling aquariums to display fish and marine animals in public places, in restaurants serve sea food, in shops sell living fishs and marine animals, also, equipment for preserving chilled for selling.",,
AM-03893,Freezone,809019,Arabic Calligraphy Teaching Institute,???? ?????? ???? ??????,Active,,Educational,0,Standard,10000,Training Institute,"Includes providing training on the art of beautiful, stylized, or elegant Arabic handwriting or lettering with pen or brush and ink. It involves the correct formation of characters, the ordering of the various parts, and the harmony of proportions.",Certified_Academic_Degree,Academic Zone
AM-01769,Freezone,513108,Arabwear Trading,????? ??????? ???????,Active,,Commercial,0,Standard,,Ready made garments qroup,"Includes reselling of Arab ready made wear, such as dishdashas, ghotra, bishts, oqal and caps, also, women traditional cloak (aba) head covers, veils.",,
AM-04113,Freezone,742112,Archeological Restoration & Conservation Engineering Consultancy,????? ??????? ????????? ??? ??????,Active,,Services,0,Standard,,Other engineering services,"Includes providing services and consultancies related to conservation and preservation of archeological materials by using the method of examination, documentation, treatment, protection to keep that property in as close to its original condition as possible.",Certified_Academic_Degree,
AM-03522,Freezone,809046,Architecture & Town Planning Training,??????? ??? ??????? ????????? ?????? ?????,Active,,Educational,0,Standard,10000,Training Institute,"Includes providing training on the art, science and techniques of building design that encompasses the soundness of the structure and the functional and economic efficiency and aesthetic considerations, also, regulated growth and improvement of towns in both functional and aesthetical points of view, architectural urban design and planning, architecture, cartography, land surveying, community development and planning, landscape architecture, structural architecture, interior design engineering is not involved.",,Academic Zone
AM-08383,Freezone,RAKEZ9000904,Art Gallery,???? ???? ??????? ??????,Active,,Services,0,Standard,,"Creative, arts and entertainment activities","Includes Galleries which constantly show art works such as drawings, sculptures, photographs, handicraft works, masterworks etc. or allocate these works of art for holding exhibitions for artists from time to time. This also includes promotion activities for these works.",,
AM-01774,Freezone,513936,Artificial Flowers & Plants Trading,????? ?????? ????????? ???????? ????????,Active,,Commercial,0,Standard,,Ready made garments qroup,"Includes reselling artificial flowers and plants made of fibers, glass, ceramic and metal, also, flowers arranging.",,
AM-08817,Freezone,RAKEZ9000908,Artificial Intelligence Developer,???? ?????? ?????????,Active,,Media,0,Standard,,E-Gaming Core,An entity which specializes in all aspects of Artificial Intelligence and machine learning research and development.,,Media Brief Form
AM-09379,Freezone,RAKEZ9001035,Artificial Intelligence Development,????? ?????? ?????????,Active,,Services,0,Standard,,Information Technology,,Certified Academic Degree,
AM-01776,Freezone,519012,Astronomy Equipment Trading,????? ????? ????? ??????? ??????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling telescopes and magnifying equipment in different sizes and magnitudes to observe astronomical phenomena, in addition to measuring instruments to indicate directions, geographical locations, celestial bodies distances calculations..etc.",,
AM-08806,Freezone,82300-03,Auctions Organization and Management,????? ???????? ??????? ????????,Active,,Services,0,Standard,,Organization of conventions and trade shows,"Includes firms organize public auctions to sell properties or movables by experienced auctioneers and appraisers, and in specialized galleries or in any place specified by the concerned authority, also, carrying out related procedures, mainly obtaining auction permits, announcements, venue leasing, sorting out sold materials, transfer of ownership and value collection.",,
AM-01781,Freezone,513914,"Audio-Visual, Recording Equipment & Accessories Trading",????? ??????? ??????? ???????? ?????? ??????? ????????,Active,,Commercial,0,Standard,,Electronics group,"Includes reselling audio-visual electronic equipment, involving radio sets, gramophones, loud-speakers television and video sets, cinematography projectors, slides projectors, instant translators respectively, also, cinematography and television photographing systems, as well as other non-commercial. Equipment used for photographing and recording inside studios or for commercial purposes are classified under Class 5150.",,
AM-01796,Freezone,513969,"Authentic Antiques, Artefacts & Artworks Trading",????? ????????? ?????? ???????? ?????? ???????,Active,,Commercial,0,Standard,,Ready made garments qroup,"Includes firms trade in genuine antiques, artifacts and original artworks,, including paintings, drawings, sculptures, photographs, handicraft works, masterworks, and old antique cameras and accessories. Also includes promotional activities for these works such as advertising, public relations and events through a licensed media provider.",,
AM-01797,Freezone,503002,Auto Accessories Trading,????? ??????? ???????? ????????,Active,,Commercial,0,Standard,,Auto spare parts trading,"Includes the reselling accessories fitted in cars and vehicles such as, additional bumpers to adjust exterior, air deflectors to increase the car's efficiency , baggage loading racks to diversify the car's use , as well as sun and rain protectors and small trailers, also, devices fitted in public service vehicles such as police, ambulances and fire.engines.",,
AM-09378,Freezone,6209002,Automated Customer Support Services,????? ????? ????? ????? ??????????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Providing AI-driven customer support solutions, including virtual assistants, chatbots, and automated ticket resolution for enhanced customer service.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-09352,Freezone,6202015,Automated Order Processing Systems Development,????? ????? ?????? ??????? ??????,Active,,Services,0,Standard,,IT Services,"Implementing automated systems for order processing, reducing manual intervention and improving order accuracy",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-01859,Freezone,515956,Automatic Gates & Barriers Trading,????? ???????? ???????? ??????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling automatic gates opened and closed doors by remote controls, as well as automatic barriers regulating entrance and exit in private and public parkings.",,
AM-04118,Freezone,742159,Automobile Engineering Consultancy,????? ????????,Active,,Services,0,Standard,,Other engineering services,"Includes providing services and consultancies related to vehicle engineering which incorporates the elements of design, mechanical, electrical, safety, fuel economy, noise, vibration, and harshness, performance.",Certified_Academic_Degree,
AM-01815,Freezone,503001,Auto Spare Parts & Components Trading,????? ??? ???? ???????? ????????? ?????????,Active,,Commercial,0,Standard,,Auto spare parts trading,"Includes reselling spare parts and to use fully or partially in repairing and maintaining motor vehicles, buses, trucks and trailers and other relevant requisites including oils, detergents, paints .. etc..",,
AM-09140,Freezone,5210005,Auto-storing Services,????? ??????? ??????,Active,,Commercial,0,Standard,,storing Services,"Includes establishments that allocates space for temporary rental for individuals and businesses to store personal belongings or goods and other periods is limited to the tenant keeps keys assigned space, also it has the right to access Maizhae time and the entity providing monitoring and guarding system to preserve the property of individuals contracted companies.",,Department of Civil Defense
AM-01822,Freezone,515937,Auto Washing Equipment Trading,????? ????? ??? ???????? ????????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling automatic and manual car cleaning and washing equipment, involving fully automatic tunnel car wash equipment, high press automatic car wash equipment, rollover car wash equipment, mobile equipment, vacuum cleaners, foamers, dryers.",,
AM-02683,Freezone,6309-02,Aviation Business Brokerage,??????? ???????? ?? ???? ???????,Active,500000,Commercial,0,Special,5000,"Transport, shipping and storage","Includes firms engaged in variety of brokerage services regarding aviation business such as brokering flights on behalf of individuals and companies market for both passenger and cargo transportation, the sale and acquisition of aircrafts..etc",,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-01899,Freezone,RAKEZ /2017/20,Aviation Consultancy,???????? ???????,Active,500000,Services,0,Special,5000,Other engineering services,Aviation Consultancy,Certified_Academic_Degree,"Department of Civil Aviation, Business Plan. Activity Not Allowed for Flexi Units."
AM-02686,Freezone,6309-03,Aviation Services Coordination,????? ????? ???????,Active,500000,Commercial,0,Special,5000,"Transport, shipping and storage","Includes firms specialized in coordinating between their clients and services providers as related to fuel services, airport ground operation, flight permission and passenger facilitation.",Certified_Academic_Degree,"Department of Civil Aviation,Business Plan. Activity Not Allowed for Flexi Units."
AM-01870,Freezone,513963,Baby Care Requisites Trading,????? ????? ??????? ????????,Active,,Commercial,0,Standard,,Medicines trading,"Includes reselling of children and new-born cradles, chairs, beds, walkers, prams, baskets, linen and covers, toys, creams, lotions and oil and mothers requisites.",,
AM-01903,Freezone,5122-02,Baby Food Trading,????? ????? ???????,Active,,Commercial,0,Standard,,Foodstuff trading,"Includes reselling baby food, such as liquid or powdered milk, beverages, juices and other dried or liquid foods.",,For Warehouse & Land: RAK Municipality- Public Health Department
AM-01872,Freezone,513109,Babywear Trading,????? ????? ???????,Active,,Commercial,0,Standard,,Ready made garments qroup,"Includes reselling of children’s swaddling clothes, nappies, night wear, party clothes, shirts, trousers and others.",,
AM-02687,Freezone,9309-02,Baker,????,Active,,Commercial,0,Standard,,Restaurants and coffee shops,Includes backing traditional bread using traditional bakeries.,,RAK Municipality- Public Health Department
AM-01878,Freezone,515926,Bakeries & Flour Mills Equipment Trading,????? ????? ????? ??????? ????????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes manufacturing machinery and equipment to produce flour such as grinding mills, feeders, sifters, bran cleaners, blenders, rice hullers, pea splitters, also, bakery ovens, dough mixers and dividers, molders, slicers, cake depositors.",,
AM-01888,Freezone,513925,"Bamboo, Cane & Wicker Products Trading",????? ?????? ???????? ?????? ?????? ?????????,Active,,Commercial,0,Standard,,Furnitures trading,"Includes reselling of household mats, rugs, baskets made of bamboo, cane, wicker and other, furniture of the same is not involved.",,
AM-03587,Freezone,809027,Banking & Finance Training,??????? ??? ??????? ???????? ????????,Active,,Educational,0,Standard,5000,Training Institute,"Includes providing training on planning, directing, organizing and controlling financial resources and activities of the financial of institutions and individuals, including Banking services, finance theory, investment analysis, investments and securities, stock-brokering.",,Academic Zone
AM-08800,Freezone,70100-08,Bank Representation Office,???? ????? ?????,Active,,Services,0,Standard,,Head Offices,Includes offices established in the Emirate of Ras Al Khaimah and managed by any of the international foreign banks. They are intended to promote the activities of the major banks existing in the fatherland country or those of any of their branches. They are also assigned to facilitate contacts between the concerned banks and their clients.,,"UAE Central Bank, this activity is not allowed for Coworking"
